"entry_number","scopus_id","doi","title","authors","year","date","publication","citations","query"
125,"0025833823",NA,"Gonadal and adrenal effects on hepatic epidermal growth factor receptor expression in a murine model","Scoccia B.",1991,"1991-01-01","Endocrinology",9,"ALL(""allFit"")"
126,"0026065154","10.1021/jm00105a005","R and S Enantiomers of 11-Hydroxy- and 10,11-Dihydroxy-N-allylnoraporphine: Synthesis and Affinity for Dopamine Receptors in Rat Brain Tissue","Neumeyer J.L.",1991,"1991-01-01","Journal of Medicinal Chemistry",12,"ALL(""allFit"")"
127,"0025168663","10.1016/0014-2999(90)90367-F","In vivo interaction of cabergoline with rat brain dopamine receptors labelled with [3H]N-n-propylnorapomorphine","Benedetti M.S.",1990,"1990-10-23","European Journal of Pharmacology",60,"ALL(""allFit"")"
128,"0025083354",NA,"Regulation of human cytotoxic T lymphocyte development by IL-7","Hickman C.J.",1990,"1990-10-15","Journal of Immunology",83,"ALL(""allFit"")"
129,"0025062171","10.1016/0165-3806(90)90173-V","Dopamine D1 receptor development depends on endogenous dopamine","Gelbard H.A.",1990,"1990-10-01","Developmental Brain Research",53,"ALL(""allFit"")"
130,"0025140601","10.1016/0006-8993(90)90499-2","Inhibition by tetrandrine of calcium currents at mouse motor nerve endings","Wiegand H.",1990,"1990-07-30","Brain Research",16,"ALL(""allFit"")"
131,"0025643222","10.1016/0160-5402(90)90015-D","Evaluation of combined effects in dose-response wstudies by statistical comparison with additive and independent interactions","Pöch G.",1990,"1990-01-01","Journal of Pharmacological Methods",35,"ALL(""allFit"")"
132,"0025066165","10.1139/y90-202","Evaluation of experimental combined toxicity by use of dose - frequency curves: Comparison with theoretical additivity as well as independence","Poch G.",1990,"1990-01-01","Canadian Journal of Physiology and Pharmacology",15,"ALL(""allFit"")"
133,"0025166305",NA,"Characterization of steroid interactions with γ-aminobutyric acid receptor-gated chloride ion channels: Evidence for multiple steroid recognition sites","Morrow A.L.",1990,"1990-01-01","Molecular Pharmacology",358,"ALL(""allFit"")"
134,"0025296413","10.1016/0010-4809(90)90022-5","COSIFIT: An interactive program for simultaneous multioscillator cosinor analysis of time-series data","Teicher M.H.",1990,"1990-01-01","Computers and Biomedical Research",64,"ALL(""allFit"")"
135,"0025176541","10.1016/0028-3908(90)90053-T","Efficacy and potency comparisons among aporphine enantiomers: Effects on dopamine neurons in substantia nigra of rat","Martin L.",1990,"1990-01-01","Neuropharmacology",17,"ALL(""allFit"")"
136,"0025281526","10.1016/0028-3908(90)90064-X","R(-) and s(+) stereoisomers of 11-hydroxy- and 11 -methoxy-N-n -propylnoraporphine: Central dopaminergic behavioral activity in the rat","Campbell A.",1990,"1990-01-01","Neuropharmacology",18,"ALL(""allFit"")"
137,"0025329284",NA,"Presynaptic inhibition of dopamine synthesis in rat striatal tissue by enantiomeric mono- and dihydroxyaporphines","Booth R.G.",1990,"1990-01-01","Molecular Pharmacology",36,"ALL(""allFit"")"
138,"0025137007","10.1021/jm00163a007","Synthesis and structural requirements of N-substituted norapomorphines for affinity and activity at dopamine D-1, D-2, and agonist receptor sites in rat brain","Gao Y.",1990,"1990-01-01","Journal of Medicinal Chemistry",36,"ALL(""allFit"")"
139,"0025027261",NA,"Inactivation of tyrosine hydroxylase by pterin substrates following phosphorylation by cyclic AMP-dependent protein kinase","Roskoski R.",1990,"1990-01-01","Molecular Pharmacology",11,"ALL(""allFit"")"
140,"0024443806","10.1016/0165-3806(89)90065-5","Postnatal development of dopamine D1 and D2 receptor sites in rat striatum","Gelbard H.",1989,"1989-09-01","Developmental Brain Research",128,"ALL(""allFit"")"
141,"0024476494","10.1016/0006-2952(89)90387-0","Pharmacology of binding of 3H-SCH-23390 to D-1 dopaminergic receptor sites in rat striatal tissue","Faedda G.",1989,"1989-02-01","Biochemical Pharmacology",68,"ALL(""allFit"")"
142,"0024560611",NA,"Absence of spare autoreceptors regulating dopamine agonist inhibition of tyrosine hydroxylation in slices of rat striatum","Bohmaker K.",1989,"1989-01-01","Journal of Pharmacology and Experimental Therapeutics",16,"ALL(""allFit"")"
143,"0024313909","10.1016/0165-6147(89)90098-9","Null method or operational model?","Mackay D.",1989,"1989-01-01","Trends in Pharmacological Sciences",4,"ALL(""allFit"")"
144,"0024819586","10.1111/j.1476-5381.1989.tb12591.x","3-Aminopropylphosphinic acid - A potent, selective GABA(B) receptor agonist in the guinea-pig ileum and rat anococcygeus muscle","Hills J.M.",1989,"1989-01-01","British Journal of Pharmacology",31,"ALL(""allFit"")"
145,"0024595649","10.1016/0166-4328(89)90004-1","Enhanced detection of nucleus basalis magnocellularis lesion-induced spatial learning deficit in rats by modification of training regimen","Mandel R.",1989,"1989-01-01","Behavioural Brain Research",79,"ALL(""allFit"")"
146,"84907126180","10.3109/01485018908986829","Calcium uptake in human spermatozoa: Characterization and mechanisms","Silvestroni L.",1989,"1989-01-01","Systems Biology in Reproductive Medicine",9,"ALL(""allFit"")"
147,"0024435748","10.1111/j.1471-4159.1989.tb08552.x","Chromatographic Analyses of the Serotonin 5‐HT1A Receptor Solubilized from the Rat Hippocampus","Mestikawy S.E.",1989,"1989-01-01","Journal of Neurochemistry",19,"ALL(""allFit"")"
148,"0023795941","10.1007/BF00735879","Decreasing sensitivity to neuroleptic agents in developing rats; evidence for a pharmacodynamic factor","Campbell A.",1988,"1988-03-01","Psychopharmacology",40,"ALL(""allFit"")"
149,"0024286924","10.1016/0006-2952(88)90154-2","Substituted phenylpiperidines and phenylpyridines as reversible selective inhibitors of monoamine oxidase type A in rodent brain and liver","Kula N.S.",1988,"1988-02-15","Biochemical Pharmacology",1,"ALL(""allFit"")"
150,"0023994195","10.1016/0165-6147(88)90189-7","A generally useful modification of ALLFIT that facilitates the fitting of null equations to dose-response curves","Mackay D.",1988,"1988-01-01","Trends in Pharmacological Sciences",14,"ALL(""allFit"")"
151,"0023918989",NA,"Basal and insulin-stimulated skeletal muscle sugar transport in endotoxic and bacteremic rats","Westfall M.",1988,"1988-01-01","American Journal of Physiology Regulatory Integrative and Comparative Physiology",17,"ALL(""allFit"")"
152,"0023940958","10.1016/0165-6147(88)90085-5","Concentration-response curves and receptor classification: null method or operational model?","Mackay D.",1988,"1988-01-01","Trends in Pharmacological Sciences",20,"ALL(""allFit"")"
153,"0023812553","10.1016/0165-6147(88)90065-X","Analysis of agonist action using the operational model","Leff P.",1988,"1988-01-01","Trends in Pharmacological Sciences",28,"ALL(""allFit"")"
154,"0024041753","10.1016/0169-2607(88)90103-4","EXPFIT: a program for simultaneous analysis of families of exponential decay curves","Guardabasso V.",1988,"1988-01-01","Computer Methods and Programs in Biomedicine",17,"ALL(""allFit"")"
155,"0023765510","10.1111/j.1471-4159.1988.tb03092.x","Inactivation of Tyrosine Hydroxylase Activity by Ascorbate In Vitro and in Rat PC12 Cells","Wilgus H.",1988,"1988-01-01","Journal of Neurochemistry",17,"ALL(""allFit"")"
156,"0023779498","10.1016/0028-3908(88)90006-8","Receptor affinity, neurochemistry and behavioral characteristics of the enantiomers of thioridazine: Evidence for different stereoselectivities at D1 and D2 receptors in rat brain","Svendsen C.N.",1988,"1988-01-01","Neuropharmacology",46,"ALL(""allFit"")"
157,"0023151847","10.1016/0003-2697(87)90046-7","Assessment of retinoid-induced differentiation of F9 embryonal carcinoma cells with an enzyme-linked immunoadsorbent assay for laminin: Statistical comparison of dose-response curves","Williams J.B.",1987,"1987-02-01","Analytical Biochemistry",26,"ALL(""allFit"")"
158,"0023063961","10.3109/10641968709158983","Modification of the interaction of human renin with different substrates by monoclonal antibodies","Gasparo M.D.",1987,"1987-01-01","Clinical and Experimental Hypertension",1,"ALL(""allFit"")"
159,"0023074006","10.1016/0076-6879(87)44180-3","Regulation of Elastin Synthesis in Organ and Cell Culture","Davidson J.M.",1987,"1987-01-01","Methods in Enzymology",5,"ALL(""allFit"")"
160,"0023198769","10.1203/00006450-198706000-00009","Small and large intestinal guanylate cyclase activity in children: Effect of age and stimulation by escherichia coli heat-stable enterotoxin","Guarino A.",1987,"1987-01-01","Pediatric Research",47,"ALL(""allFit"")"
161,"0023212819","10.3109/10799898709054986","Photoaffinity labelling and solubilization of the central 5-HT1a receptor binding site","Gozlan H.",1987,"1987-01-01","Journal of Receptors and Signal Transduction",13,"ALL(""allFit"")"
162,"0022541234","10.1016/0024-3205(86)90096-2","Synthetic analgesics and other phenylpiperidines: effects on uptake and storage of dopamine and other monoamines mouse forebrain tissue","Baldessarini R.J.",1986,"1986-11-10","Life Sciences",6,"ALL(""allFit"")"
163,"0022652266","10.1007/BF00652233","Behavioral effects of apomorphine isomers in the rat: Selective locomotor-inhibitory effects of S(+)N-n-propylnorapomorphine","Campbell A.",1986,"1986-06-01","Psychopharmacology",36,"ALL(""allFit"")"
164,"0022540386","10.1016/0006-2952(86)90308-4","In situ molecular sizes of the various types of 5-HT binding sites in the rat brain","Gozlan H.",1986,"1986-06-01","Biochemical Pharmacology",25,"ALL(""allFit"")"
165,"0022639213","10.1203/00006450-198606000-00017","The immature rat small intestine exhibits an increased sensitivity and response to Escherichia Coli heat-stable enterotoxin","Cohen M.",1986,"1986-01-01","Pediatric Research",64,"ALL(""allFit"")"
166,"0022472916","10.1210/endo-118-4-1491","Regulation of thyroxine 5′-deiodinase by thyroid hormones and activators of protein kinase C in GH4C1 cells","Koenig R.",1986,"1986-01-01","Endocrinology",15,"ALL(""allFit"")"
167,"0022508672","10.1016/0014-2999(86)90207-4","Irreversible blockade of central 5-HT1A receptor binding sites by the photoaffinity probe 8-methoxy-3′-nap-amino-pat","Emerit M.B.",1986,"1986-01-01","European Journal of Pharmacology",11,"ALL(""allFit"")"
168,"0022214367","10.1007/BF00431801","Prolonged antidopaminergic actions of single doses of butyrophenones in the rat","Campbell A.",1985,"1985-10-01","Psychopharmacology",33,"ALL(""allFit"")"
169,"0022351782","10.1016/0024-3205(85)90596-X","Effects of isomers of apomorphines on dopamine receptors in striatal and limbic tissue of rat brain","Kula N.S.",1985,"1985-09-16","Life Sciences",23,"ALL(""allFit"")"
170,"0022135683","10.1152/ajpendo.1985.249.4.e380","Adenohypophyseal response to hypophysiotropic hormones in male obese Zucker rats","Heiman M.L.",1985,"1985-01-01","American Journal of Physiology Endocrinology and Metabolism",17,"ALL(""allFit"")"
171,"0021919366","10.1016/0028-3908(85)90023-1","S(+)apomorphines selective inhibition of excitatory effects of dopamine injected into the limbic system of the rat","Campbell A.",1985,"1985-01-01","Neuropharmacology",32,"ALL(""allFit"")"
172,"0021869260","10.1016/0303-7207(85)90017-6","Binding characteristics of epidermal growth factor receptors in male and female rat liver cell membrane preparations","Benveniste R.",1985,"1985-01-01","Molecular and Cellular Endocrinology",18,"ALL(""allFit"")"
173,"0021939907","10.1210/endo-116-6-2400","Effects of epidermal growth factor, phorbol myristate acetate, and arachidonic acid on choriogonadotropin secretion by cultured human choriocarcinoma cells","Ilekis J.",1985,"1985-01-01","Endocrinology",43,"ALL(""allFit"")"
174,"0021136504","10.1016/0028-3908(84)90103-5","Effect of age on behavioral responses and tissue levels of apomorphine in the rat","Campbell A.",1984,"1984-01-01","Neuropharmacology",25,"ALL(""allFit"")"
175,"0019831193","10.1016/0304-4165(81)90167-7","Increased β-adrenergic receptor complement in androgen-induced mouse kidney hypertrophy","Petrovic S.L.",1981,"1981-09-04","Bba General Subjects",9,"ALL(""allFit"")"
176,"0019419393","10.1210/endo-108-2-559","Neonatal rat pinealocytes: Typical and atypical characteristics of [125i]iodohydroxybenzylpindolol binding and adenosine 3′, 5′-monophosphate accumulation","Auerbach D.",1981,"1981-01-01","Endocrinology",41,"ALL(""allFit"")"
